rec,date,U,H,F,D,B,ms,ns
0,1972-10,1,0,0,0,0,U,1
0,1972-11,0,1,0,0,0,H,2
0,1972-12,1,0,0,0,0,U,1
0,1973-01,1,0,0,0,0,U,1
0,1973-02,1,0,0,0,0,U,1
0,1973-03,0,0,1,0,0,F,5
0,1973-04,0,0,0,0,1,B,4
0,1973-05,0,0,1,0,0,F,5
0,1973-06,0,0,0,0,1,B,4
0,1973-07,0,0,0,1,0,D,3
0,1973-08,0,0,0,1,0,D,3
0,1973-09,0,0,0,0,1,B,4
0,1973-10,0,0,0,0,1,B,4
0,1973-11,0,0,0,0,1,B,4
1,1973-12,0,0,0,0,1,B,4
1,1974-01,0,0,0,0,1,B,4
1,1974-02,0,0,0,0,1,B,4
1,1974-03,0,0,0,0,1,B,4
1,1974-04,0,0,0,1,0,D,3
1,1974-05,0,0,0,1,0,D,3
1,1974-06,0,0,0,1,0,D,3
1,1974-07,0,0,0,1,0,D,3
1,1974-08,0,0,0,1,0,D,3
1,1974-09,0,0,0,1,0,D,3
1,1974-10,0,0,0,0,1,B,4
1,1974-11,0,0,0,0,1,B,4
1,1974-12,1,0,0,0,0,U,1
1,1975-01,1,0,0,0,0,U,1
1,1975-02,1,0,0,0,0,U,1
1,1975-03,1,0,0,0,0,U,1
0,1975-04,1,0,0,0,0,U,1
0,1975-05,1,0,0,0,0,U,1
0,1975-06,1,0,0,0,0,U,1
0,1975-07,1,0,0,0,0,U,1
0,1975-08,1,0,0,0,0,U,1
0,1975-09,1,0,0,0,0,U,1
0,1975-10,1,0,0,0,0,U,1
0,1975-11,1,0,0,0,0,U,1
0,1975-12,1,0,0,0,0,U,1
0,1976-01,1,0,0,0,0,U,1
0,1976-02,1,0,0,0,0,U,1
0,1976-03,1,0,0,0,0,U,1
0,1976-04,1,0,0,0,0,U,1
0,1976-05,1,0,0,0,0,U,1
0,1976-06,1,0,0,0,0,U,1
0,1976-07,1,0,0,0,0,U,1
0,1976-08,1,0,0,0,0,U,1
0,1976-09,1,0,0,0,0,U,1
0,1976-10,1,0,0,0,0,U,1
0,1976-11,1,0,0,0,0,U,1
0,1976-12,1,0,0,0,0,U,1
0,1977-01,1,0,0,0,0,U,1
0,1977-02,1,0,0,0,0,U,1
0,1977-03,1,0,0,0,0,U,1
0,1977-04,1,0,0,0,0,U,1
0,1977-05,1,0,0,0,0,U,1
0,1977-06,1,0,0,0,0,U,1
0,1977-07,1,0,0,0,0,U,1
0,1977-08,1,0,0,0,0,U,1
0,1977-09,1,0,0,0,0,U,1
0,1977-10,1,0,0,0,0,U,1
0,1977-11,1,0,0,0,0,U,1
0,1977-12,1,0,0,0,0,U,1
0,1978-01,1,0,0,0,0,U,1
0,1978-02,1,0,0,0,0,U,1
0,1978-03,1,0,0,0,0,U,1
0,1978-04,1,0,0,0,0,U,1
0,1978-05,1,0,0,0,0,U,1
