"","date","Ufh","Ufb","Usb","Ush","H","D","B","F","ns","ms"
"207","1962-03",1,0,0,0,0,0,0,0,"0.25","U1"
"208","1962-04",1,0,0,0,0,0,0,0,"0.25","U1"
"209","1962-05",1,0,0,0,0,0,0,0,"0.25","U1"
"210","1962-06",1,0,0,0,0,0,0,0,"0.25","U1"
"211","1962-07",1,0,0,0,0,0,0,0,"0.25","U1"
"212","1962-08",0,1,0,0,0,0,0,0,"0.5","U2"
"213","1962-09",1,0,0,0,0,0,0,0,"0.25","U1"
"214","1962-10",1,0,0,0,0,0,0,0,"0.25","U1"
"215","1962-11",1,0,0,0,0,0,0,0,"0.25","U1"
"216","1962-12",1,0,0,0,0,0,0,0,"0.25","U1"
"217","1963-01",1,0,0,0,0,0,0,0,"0.25","U1"
"218","1963-02",1,0,0,0,0,0,0,0,"0.25","U1"
"219","1963-03",1,0,0,0,0,0,0,0,"0.25","U1"
"220","1963-04",1,0,0,0,0,0,0,0,"0.25","U1"
"221","1963-05",1,0,0,0,0,0,0,0,"0.25","U1"
"222","1963-06",1,0,0,0,0,0,0,0,"0.25","U1"
"223","1963-07",1,0,0,0,0,0,0,0,"0.25","U1"
"224","1963-08",1,0,0,0,0,0,0,0,"0.25","U1"
"225","1963-09",1,0,0,0,0,0,0,0,"0.25","U1"
"226","1963-10",1,0,0,0,0,0,0,0,"0.25","U1"
"227","1963-11",1,0,0,0,0,0,0,0,"0.25","U1"
"228","1963-12",1,0,0,0,0,0,0,0,"0.25","U1"
"229","1964-01",1,0,0,0,0,0,0,0,"0.25","U1"
"230","1964-02",1,0,0,0,0,0,0,0,"0.25","U1"
"231","1964-03",1,0,0,0,0,0,0,0,"0.25","U1"
"232","1964-04",1,0,0,0,0,0,0,0,"0.25","U1"
"233","1964-05",1,0,0,0,0,0,0,0,"0.25","U1"
"234","1964-06",1,0,0,0,0,0,0,0,"0.25","U1"
"235","1964-07",1,0,0,0,0,0,0,0,"0.25","U1"
"236","1964-08",1,0,0,0,0,0,0,0,"0.25","U1"
"237","1964-09",1,0,0,0,0,0,0,0,"0.25","U1"
"238","1964-10",1,0,0,0,0,0,0,0,"0.25","U1"
"239","1964-11",1,0,0,0,0,0,0,0,"0.25","U1"
"240","1964-12",0,0,0,0,0,0,0,1,"5","F"
"241","1965-01",0,1,0,0,0,0,0,0,"0.5","U2"
"242","1965-02",0,0,0,0,0,0,0,1,"5","F"
"243","1965-03",0,0,0,0,0,0,0,1,"5","F"
"244","1965-04",0,0,0,0,0,0,0,1,"5","F"
"245","1965-05",1,0,0,0,0,0,0,0,"0.25","U1"
"246","1965-06",1,0,0,0,0,0,0,0,"0.25","U1"
"247","1965-07",1,0,0,0,0,0,0,0,"0.25","U1"
"248","1965-08",1,0,0,0,0,0,0,0,"0.25","U1"
"249","1965-09",0,0,0,0,0,0,0,1,"5","F"
"250","1965-10",0,0,0,0,0,0,0,1,"5","F"
"251","1965-11",0,0,0,0,0,0,0,1,"5","F"
"252","1965-12",0,0,0,0,1,0,0,0,"2","H"
"253","1966-01",0,0,0,0,1,0,0,0,"2","H"
"254","1966-02",0,0,0,0,1,0,0,0,"2","H"
"255","1966-03",0,0,0,0,0,1,0,0,"3","D"
"256","1966-04",0,0,0,0,0,1,0,0,"3","D"
"257","1966-05",0,0,0,0,1,0,0,0,"2","H"
"258","1966-06",0,0,0,0,1,0,0,0,"2","H"
"259","1966-07",0,0,0,0,1,0,0,0,"2","H"
"260","1966-08",0,0,0,0,1,0,0,0,"2","H"
"261","1966-09",0,0,0,0,0,1,0,0,"3","D"
"262","1966-10",0,0,0,0,0,1,0,0,"3","D"
"263","1966-11",0,0,0,0,0,1,0,0,"3","D"
"264","1966-12",0,0,0,0,0,1,0,0,"3","D"
"265","1967-01",0,0,0,0,0,1,0,0,"3","D"
"266","1967-02",0,0,0,0,1,0,0,0,"2","H"
"267","1967-03",1,0,0,0,0,0,0,0,"0.25","U1"
"268","1967-04",1,0,0,0,0,0,0,0,"0.25","U1"
"269","1967-05",1,0,0,0,0,0,0,0,"0.25","U1"
"270","1967-06",1,0,0,0,0,0,0,0,"0.25","U1"
"271","1967-07",0,0,0,0,1,0,0,0,"2","H"
"272","1967-08",0,0,0,0,1,0,0,0,"2","H"
"273","1967-09",0,0,0,0,1,0,0,0,"2","H"
"274","1967-10",0,0,0,0,1,0,0,0,"2","H"
"275","1967-11",0,0,0,0,1,0,0,0,"2","H"
