"","date","B","D","F","H","U","Ua","Ub","Shape","S"
"164","1966-11",0,1,0,0,0,0,0,"D","5"
"165","1966-12",0,1,0,0,0,0,0,"D","5"
"166","1967-01",0,1,0,0,0,0,0,"D","5"
"167","1967-02",0,0,0,1,0,0,0,"H","4"
"168","1967-03",0,0,0,0,1,1,0,"Ua","0.5"
"169","1967-04",0,0,0,0,1,1,0,"Ua","0.5"
"170","1967-05",0,0,0,0,1,1,0,"Ua","0.5"
"171","1967-06",0,0,0,0,1,1,0,"Ua","0.5"
"172","1967-07",0,0,0,1,0,0,0,"H","4"
"173","1967-08",0,0,0,1,0,0,0,"H","4"
"174","1967-09",0,0,0,1,0,0,0,"H","4"
"175","1967-10",0,0,0,1,0,0,0,"H","4"
"176","1967-11",0,0,0,1,0,0,0,"H","4"
"177","1967-12",0,0,1,0,0,0,0,"F","3"
"178","1968-01",0,0,0,1,0,0,0,"H","4"
"179","1968-02",0,0,0,1,0,0,0,"H","4"
"180","1968-03",0,0,0,1,0,0,0,"H","4"
"181","1968-04",0,0,0,1,0,0,0,"H","4"
"182","1968-05",0,1,0,0,0,0,0,"D","5"
"183","1968-06",0,1,0,0,0,0,0,"D","5"
"184","1968-07",0,1,0,0,0,0,0,"D","5"
"185","1968-08",0,0,0,1,0,0,0,"H","4"
"186","1968-09",0,0,1,0,0,0,0,"F","3"
"187","1968-10",0,0,1,0,0,0,0,"F","3"
"188","1968-11",1,0,0,0,0,0,0,"B","2"
"189","1968-12",0,1,0,0,0,0,0,"D","5"
"190","1969-01",0,1,0,0,0,0,0,"D","5"
"191","1969-02",0,1,0,0,0,0,0,"D","5"
"192","1969-03",0,0,0,1,0,0,0,"H","4"
"193","1969-04",0,0,0,1,0,0,0,"H","4"
"194","1969-05",0,0,0,1,0,0,0,"H","4"
"195","1969-06",0,1,0,0,0,0,0,"D","5"
"196","1969-07",0,1,0,0,0,0,0,"D","5"
"197","1969-08",0,1,0,0,0,0,0,"D","5"
"198","1969-09",0,1,0,0,0,0,0,"D","5"
"199","1969-10",0,1,0,0,0,0,0,"D","5"
"200","1969-11",0,1,0,0,0,0,0,"D","5"
"201","1969-12",0,1,0,0,0,0,0,"D","5"
"202","1970-01",0,1,0,0,0,0,0,"D","5"
"203","1970-02",0,0,0,1,0,0,0,"H","4"
"204","1970-03",0,0,0,1,0,0,0,"H","4"
"205","1970-04",0,0,0,1,0,0,0,"H","4"
"206","1970-05",0,0,0,1,0,0,0,"H","4"
"207","1970-06",0,0,0,1,0,0,0,"H","4"
"208","1970-07",0,0,0,1,0,0,0,"H","4"
"209","1970-08",0,0,0,1,0,0,0,"H","4"
"210","1970-09",0,0,0,1,0,0,0,"H","4"
"211","1970-10",0,0,0,1,0,0,0,"H","4"
"212","1970-11",0,0,0,0,1,1,0,"Ua","0.5"
"213","1970-12",0,0,0,0,1,1,0,"Ua","0.5"
"214","1971-01",0,0,0,0,1,1,0,"Ua","0.5"
"215","1971-02",0,0,0,0,1,0,1,"Ub","1"
"216","1971-03",0,0,0,0,1,0,1,"Ub","1"
"217","1971-04",0,0,0,0,1,1,0,"Ua","0.5"
"218","1971-05",0,0,0,0,1,1,0,"Ua","0.5"
"219","1971-06",0,0,0,1,0,0,0,"H","4"
"220","1971-07",0,0,0,1,0,0,0,"H","4"
"221","1971-08",0,0,0,1,0,0,0,"H","4"
"222","1971-09",0,0,0,0,1,1,0,"Ua","0.5"
"223","1971-10",0,0,0,0,1,1,0,"Ua","0.5"
"224","1971-11",0,0,0,0,1,1,0,"Ua","0.5"
"225","1971-12",0,0,0,0,1,1,0,"Ua","0.5"
"226","1972-01",0,0,0,0,1,1,0,"Ua","0.5"
"227","1972-02",0,0,0,0,1,1,0,"Ua","0.5"
"228","1972-03",0,0,0,0,1,1,0,"Ua","0.5"
"229","1972-04",0,0,0,0,1,1,0,"Ua","0.5"
"230","1972-05",0,0,0,0,1,1,0,"Ua","0.5"
"231","1972-06",0,0,0,0,1,1,0,"Ua","0.5"
"232","1972-07",0,0,0,0,1,1,0,"Ua","0.5"
"233","1972-08",0,0,0,0,1,1,0,"Ua","0.5"
"234","1972-09",0,0,0,0,1,1,0,"Ua","0.5"
"235","1972-10",0,0,0,0,1,1,0,"Ua","0.5"
"236","1972-11",0,0,0,1,0,0,0,"H","4"
"237","1972-12",0,0,0,0,1,1,0,"Ua","0.5"
"238","1973-01",0,0,0,0,1,1,0,"Ua","0.5"
"239","1973-02",0,0,0,0,1,1,0,"Ua","0.5"
"240","1973-03",0,0,1,0,0,0,0,"F","3"
"241","1973-04",1,0,0,0,0,0,0,"B","2"
"242","1973-05",0,0,1,0,0,0,0,"F","3"
"243","1973-06",1,0,0,0,0,0,0,"B","2"
"244","1973-07",0,1,0,0,0,0,0,"D","5"
"245","1973-08",0,1,0,0,0,0,0,"D","5"
"246","1973-09",1,0,0,0,0,0,0,"B","2"
"247","1973-10",1,0,0,0,0,0,0,"B","2"
"248","1973-11",1,0,0,0,0,0,0,"B","2"
"249","1973-12",1,0,0,0,0,0,0,"B","2"
"250","1974-01",1,0,0,0,0,0,0,"B","2"
"251","1974-02",1,0,0,0,0,0,0,"B","2"
"252","1974-03",1,0,0,0,0,0,0,"B","2"
"253","1974-04",0,1,0,0,0,0,0,"D","5"
"254","1974-05",0,1,0,0,0,0,0,"D","5"
"255","1974-06",0,1,0,0,0,0,0,"D","5"
"256","1974-07",0,1,0,0,0,0,0,"D","5"
"257","1974-08",0,1,0,0,0,0,0,"D","5"
"258","1974-09",0,1,0,0,0,0,0,"D","5"
"259","1974-10",1,0,0,0,0,0,0,"B","2"
"260","1974-11",1,0,0,0,0,0,0,"B","2"
"261","1974-12",0,0,0,0,1,1,0,"Ua","0.5"
"262","1975-01",0,0,0,0,1,1,0,"Ua","0.5"
"263","1975-02",0,0,0,0,1,1,0,"Ua","0.5"
"264","1975-03",0,0,0,0,1,1,0,"Ua","0.5"
"265","1975-04",0,0,0,0,1,1,0,"Ua","0.5"
"266","1975-05",0,0,0,0,1,1,0,"Ua","0.5"
"267","1975-06",0,0,0,0,1,1,0,"Ua","0.5"
"268","1975-07",0,0,0,0,1,1,0,"Ua","0.5"
"269","1975-08",0,0,0,0,1,1,0,"Ua","0.5"
"270","1975-09",0,0,0,0,1,1,0,"Ua","0.5"
"271","1975-10",0,0,0,0,1,1,0,"Ua","0.5"
"272","1975-11",0,0,0,0,1,1,0,"Ua","0.5"
"273","1975-12",0,0,0,0,1,1,0,"Ua","0.5"
"274","1976-01",0,0,0,0,1,0,1,"Ub","1"
"275","1976-02",0,0,0,0,1,0,1,"Ub","1"
"276","1976-03",0,0,0,0,1,1,0,"Ua","0.5"
"277","1976-04",0,0,0,0,1,1,0,"Ua","0.5"
"278","1976-05",0,0,0,0,1,1,0,"Ua","0.5"
"279","1976-06",0,0,0,0,1,1,0,"Ua","0.5"
"280","1976-07",0,0,0,0,1,1,0,"Ua","0.5"
"281","1976-08",0,0,0,0,1,1,0,"Ua","0.5"
"282","1976-09",0,0,0,0,1,1,0,"Ua","0.5"
"283","1976-10",0,0,0,0,1,0,1,"Ub","1"
"284","1976-11",0,0,0,0,1,0,1,"Ub","1"
"285","1976-12",0,0,0,0,1,0,1,"Ub","1"
"286","1977-01",0,0,0,0,1,0,1,"Ub","1"
"287","1977-02",0,0,0,0,1,0,1,"Ub","1"
"288","1977-03",0,0,0,0,1,0,1,"Ub","1"
"289","1977-04",0,0,0,0,1,0,1,"Ub","1"
"290","1977-05",0,0,0,0,1,1,0,"Ua","0.5"
"291","1977-06",0,0,0,0,1,1,0,"Ua","0.5"
"292","1977-07",0,0,0,0,1,1,0,"Ua","0.5"
"293","1977-08",0,0,0,0,1,1,0,"Ua","0.5"
"294","1977-09",0,0,0,0,1,1,0,"Ua","0.5"
"295","1977-10",0,0,0,0,1,1,0,"Ua","0.5"
"296","1977-11",0,0,0,0,1,1,0,"Ua","0.5"
"297","1977-12",0,0,0,0,1,1,0,"Ua","0.5"
"298","1978-01",0,0,0,0,1,1,0,"Ua","0.5"
"299","1978-02",0,0,0,0,1,1,0,"Ua","0.5"
"300","1978-03",0,0,0,0,1,1,0,"Ua","0.5"
"301","1978-04",0,0,0,0,1,1,0,"Ua","0.5"
"302","1978-05",0,0,0,0,1,1,0,"Ua","0.5"
"303","1978-06",0,0,0,0,1,1,0,"Ua","0.5"
"304","1978-07",0,0,0,0,1,1,0,"Ua","0.5"
"305","1978-08",0,0,1,0,0,0,0,"F","3"
"306","1978-09",0,1,0,0,0,0,0,"D","5"
"307","1978-10",0,1,0,0,0,0,0,"D","5"
"308","1978-11",0,1,0,0,0,0,0,"D","5"
"309","1978-12",0,1,0,0,0,0,0,"D","5"
"310","1979-01",0,1,0,0,0,0,0,"D","5"
"311","1979-02",0,1,0,0,0,0,0,"D","5"
"312","1979-03",0,1,0,0,0,0,0,"D","5"
"313","1979-04",0,1,0,0,0,0,0,"D","5"
"314","1979-05",0,1,0,0,0,0,0,"D","5"
"315","1979-06",0,1,0,0,0,0,0,"D","5"
"316","1979-07",0,1,0,0,0,0,0,"D","5"
"317","1979-08",0,1,0,0,0,0,0,"D","5"
"318","1979-09",0,1,0,0,0,0,0,"D","5"
"319","1979-10",0,1,0,0,0,0,0,"D","5"
"320","1979-11",0,1,0,0,0,0,0,"D","5"
"321","1979-12",0,1,0,0,0,0,0,"D","5"
"322","1980-01",0,1,0,0,0,0,0,"D","5"
"323","1980-02",0,1,0,0,0,0,0,"D","5"
"324","1980-03",0,1,0,0,0,0,0,"D","5"
"325","1980-04",0,1,0,0,0,0,0,"D","5"
"326","1980-05",0,0,0,0,1,1,0,"Ua","0.5"
"327","1980-06",0,0,0,0,1,1,0,"Ua","0.5"
