"","date","B","D","F","H","U","Shape","S"
"279","1968-03",0,0,0,1,0,"H","4"
"280","1968-04",0,0,0,1,0,"H","4"
"281","1968-05",0,1,0,0,0,"D","5"
"282","1968-06",0,1,0,0,0,"D","5"
"283","1968-07",0,1,0,0,0,"D","5"
"284","1968-08",0,0,0,1,0,"H","4"
"285","1968-09",0,0,1,0,0,"F","3"
"286","1968-10",0,0,1,0,0,"F","3"
"287","1968-11",1,0,0,0,0,"B","2"
"288","1968-12",0,1,0,0,0,"D","5"
"289","1969-01",0,1,0,0,0,"D","5"
"290","1969-02",0,1,0,0,0,"D","5"
"291","1969-03",0,0,0,1,0,"H","4"
"292","1969-04",0,0,0,1,0,"H","4"
"293","1969-05",0,0,0,1,0,"H","4"
"294","1969-06",0,1,0,0,0,"D","5"
"295","1969-07",0,1,0,0,0,"D","5"
"296","1969-08",0,1,0,0,0,"D","5"
"297","1969-09",0,1,0,0,0,"D","5"
"298","1969-10",0,1,0,0,0,"D","5"
"299","1969-11",0,1,0,0,0,"D","5"
"300","1969-12",0,1,0,0,0,"D","5"
"301","1970-01",0,1,0,0,0,"D","5"
"302","1970-02",0,0,0,1,0,"H","4"
"303","1970-03",0,0,0,1,0,"H","4"
"304","1970-04",0,0,0,1,0,"H","4"
"305","1970-05",0,0,0,1,0,"H","4"
"306","1970-06",0,0,0,1,0,"H","4"
"307","1970-07",0,0,0,1,0,"H","4"
"308","1970-08",0,0,0,1,0,"H","4"
"309","1970-09",0,0,0,1,0,"H","4"
"310","1970-10",0,0,0,1,0,"H","4"
"311","1970-11",0,0,0,0,1,"U","1"
"312","1970-12",0,0,0,0,1,"U","1"
"313","1971-01",0,0,0,0,1,"U","1"
"314","1971-02",0,0,0,0,1,"U","1"
"315","1971-03",0,0,0,0,1,"U","1"
"316","1971-04",0,0,0,0,1,"U","1"
"317","1971-05",0,0,0,0,1,"U","1"
"318","1971-06",0,0,0,1,0,"H","4"
"319","1971-07",0,0,0,1,0,"H","4"
"320","1971-08",0,0,0,1,0,"H","4"
"321","1971-09",0,0,0,0,1,"U","1"
"322","1971-10",0,0,0,0,1,"U","1"
"323","1971-11",0,0,0,0,1,"U","1"
"324","1971-12",0,0,0,0,1,"U","1"
"325","1972-01",0,0,0,0,1,"U","1"
"326","1972-02",0,0,0,0,1,"U","1"
"327","1972-03",0,0,0,0,1,"U","1"
"328","1972-04",0,0,0,0,1,"U","1"
"329","1972-05",0,0,0,0,1,"U","1"
"330","1972-06",0,0,0,0,1,"U","1"
"331","1972-07",0,0,0,0,1,"U","1"
"332","1972-08",0,0,0,0,1,"U","1"
"333","1972-09",0,0,0,0,1,"U","1"
"334","1972-10",0,0,0,0,1,"U","1"
"335","1972-11",0,0,0,1,0,"H","4"
"336","1972-12",0,0,0,0,1,"U","1"
"337","1973-01",0,0,0,0,1,"U","1"
"338","1973-02",0,0,0,0,1,"U","1"
"339","1973-03",0,0,1,0,0,"F","3"
"340","1973-04",1,0,0,0,0,"B","2"
"341","1973-05",0,0,1,0,0,"F","3"
"342","1973-06",1,0,0,0,0,"B","2"
"343","1973-07",0,1,0,0,0,"D","5"
"344","1973-08",0,1,0,0,0,"D","5"
"345","1973-09",1,0,0,0,0,"B","2"
"346","1973-10",1,0,0,0,0,"B","2"
"347","1973-11",1,0,0,0,0,"B","2"
"348","1973-12",1,0,0,0,0,"B","2"
"349","1974-01",1,0,0,0,0,"B","2"
"350","1974-02",1,0,0,0,0,"B","2"
"351","1974-03",1,0,0,0,0,"B","2"
"352","1974-04",0,1,0,0,0,"D","5"
"353","1974-05",0,1,0,0,0,"D","5"
"354","1974-06",0,1,0,0,0,"D","5"
"355","1974-07",0,1,0,0,0,"D","5"
"356","1974-08",0,1,0,0,0,"D","5"
"357","1974-09",0,1,0,0,0,"D","5"
"358","1974-10",1,0,0,0,0,"B","2"
"359","1974-11",1,0,0,0,0,"B","2"
"360","1974-12",0,0,0,0,1,"U","1"
"361","1975-01",0,0,0,0,1,"U","1"
"362","1975-02",0,0,0,0,1,"U","1"
"363","1975-03",0,0,0,0,1,"U","1"
"364","1975-04",0,0,0,0,1,"U","1"
"365","1975-05",0,0,0,0,1,"U","1"
"366","1975-06",0,0,0,0,1,"U","1"
