date,ms,rec
1998-10,U,0
1998-11,U,0
1998-12,U,0
1999-01,U,0
1999-02,U,0
1999-03,U,0
1999-04,U,0
1999-05,U,0
1999-06,U,0
1999-07,U,0
1999-08,U,0
1999-09,U,3
1999-10,U,3
1999-11,U,3
1999-12,U,3
2000-01,U,3
2000-02,H,3
2000-03,H,3
2000-04,H,3
2000-05,H,3
2000-06,H,3
2000-07,H,3
2000-08,D,3
2000-09,D,3
2000-10,B,3
2000-11,B,3
2000-12,B,3
2001-01,B,3
2001-02,U,3
2001-03,U,1
2001-04,U,1
2001-05,U,1
2001-06,U,1
2001-07,U,1
2001-08,U,1
2001-09,U,1
2001-10,U,1
2001-11,U,1
2001-12,U,2
2002-01,U,2
2002-02,U,2
2002-03,U,2
2002-04,U,2
2002-05,U,2
2002-06,U,2
2002-07,U,2
2002-08,U,2
2002-09,U,2
2002-10,U,2
2002-11,U,2
2002-12,U,0
2003-01,U,0
2003-02,U,0
2003-03,U,0
2003-04,U,0
2003-05,U,0
2003-06,U,0
2003-07,U,0
2003-08,U,0
2003-09,U,0
2003-10,U,0
2003-11,U,0
2003-12,U,0
2004-01,U,0
2004-02,U,0
2004-03,U,0
2004-04,U,0
2004-05,U,0
2004-06,U,0
2004-07,U,0
2004-08,U,0
2004-09,U,0
2004-10,U,0
2004-11,U,0
2004-12,U,0
2005-01,U,0
2005-02,U,0
2005-03,U,0
2005-04,U,0
2005-05,U,0
2005-06,U,0
2005-07,U,0
2005-08,U,0
2005-09,U,0
2005-10,U,0
2005-11,U,0
2005-12,U,0
2006-01,U,0
2006-02,F,0
2006-03,F,0
2006-04,U,0
2006-05,U,0
2006-06,U,3
2006-07,B,3
2006-08,B,3
2006-09,B,3
2006-10,B,3
2006-11,B,3
2006-12,B,3
2007-01,B,3
2007-02,B,3
2007-03,B,3
2007-04,B,3
2007-05,B,3
2007-06,U,3
2007-07,B,3
2007-08,U,3
2007-09,U,3
2007-10,U,3
2007-11,U,3
2007-12,U,1
2008-01,U,1
2008-02,U,1
2008-03,U,1
2008-04,U,1
2008-05,U,1
2008-06,U,1
2008-07,U,1
2008-08,U,1
2008-09,U,1
2008-10,U,1
2008-11,U,1
2008-12,U,1
2009-01,U,1
2009-02,U,1
2009-03,U,1
2009-04,U,1
2009-05,U,1
2009-06,U,1
