"","date","U","H","F","D","B","Shape","ns"
"244","1973-07",0,0,0,1,0,"D","3"
"245","1973-08",0,0,0,1,0,"D","3"
"246","1973-09",0,0,0,0,1,"B","4"
"247","1973-10",0,0,0,0,1,"B","4"
"248","1973-11",0,0,0,0,1,"B","4"
"249","1973-12",0,0,0,0,1,"B","4"
"250","1974-01",0,0,0,0,1,"B","4"
"251","1974-02",0,0,0,0,1,"B","4"
"252","1974-03",0,0,0,0,1,"B","4"
"253","1974-04",0,0,0,1,0,"D","3"
"254","1974-05",0,0,0,1,0,"D","3"
"255","1974-06",0,0,0,1,0,"D","3"
"256","1974-07",0,0,0,1,0,"D","3"
"257","1974-08",0,0,0,1,0,"D","3"
"258","1974-09",0,0,0,1,0,"D","3"
"259","1974-10",0,0,0,0,1,"B","4"
"260","1974-11",0,0,0,0,1,"B","4"
"261","1974-12",1,0,0,0,0,"U","1"
"262","1975-01",1,0,0,0,0,"U","1"
"263","1975-02",1,0,0,0,0,"U","1"
"264","1975-03",1,0,0,0,0,"U","1"
"265","1975-04",1,0,0,0,0,"U","1"
"266","1975-05",1,0,0,0,0,"U","1"
"267","1975-06",1,0,0,0,0,"U","1"
"268","1975-07",1,0,0,0,0,"U","1"
"269","1975-08",1,0,0,0,0,"U","1"
"270","1975-09",1,0,0,0,0,"U","1"
"271","1975-10",1,0,0,0,0,"U","1"
"272","1975-11",1,0,0,0,0,"U","1"
"273","1975-12",1,0,0,0,0,"U","1"
"274","1976-01",1,0,0,0,0,"U","1"
"275","1976-02",1,0,0,0,0,"U","1"
"276","1976-03",1,0,0,0,0,"U","1"
"277","1976-04",1,0,0,0,0,"U","1"
"278","1976-05",1,0,0,0,0,"U","1"
"279","1976-06",1,0,0,0,0,"U","1"
"280","1976-07",1,0,0,0,0,"U","1"
"281","1976-08",1,0,0,0,0,"U","1"
"282","1976-09",1,0,0,0,0,"U","1"
"283","1976-10",1,0,0,0,0,"U","1"
"284","1976-11",1,0,0,0,0,"U","1"
"285","1976-12",1,0,0,0,0,"U","1"
"286","1977-01",1,0,0,0,0,"U","1"
"287","1977-02",1,0,0,0,0,"U","1"
"288","1977-03",1,0,0,0,0,"U","1"
"289","1977-04",1,0,0,0,0,"U","1"
"290","1977-05",1,0,0,0,0,"U","1"
"291","1977-06",1,0,0,0,0,"U","1"
"292","1977-07",1,0,0,0,0,"U","1"
"293","1977-08",1,0,0,0,0,"U","1"
"294","1977-09",1,0,0,0,0,"U","1"
"295","1977-10",1,0,0,0,0,"U","1"
"296","1977-11",1,0,0,0,0,"U","1"
"297","1977-12",1,0,0,0,0,"U","1"
"298","1978-01",1,0,0,0,0,"U","1"
"299","1978-02",1,0,0,0,0,"U","1"
"300","1978-03",1,0,0,0,0,"U","1"
"301","1978-04",1,0,0,0,0,"U","1"
"302","1978-05",1,0,0,0,0,"U","1"
"303","1978-06",1,0,0,0,0,"U","1"
"304","1978-07",1,0,0,0,0,"U","1"
"305","1978-08",0,0,1,0,0,"F","5"
