,date,U,H,F,D,B,ms,ns
208,1962-04,1,0,0,0,0,U,1
209,1962-05,1,0,0,0,0,U,1
210,1962-06,1,0,0,0,0,U,1
211,1962-07,1,0,0,0,0,U,1
212,1962-08,1,0,0,0,0,U,1
213,1962-09,1,0,0,0,0,U,1
214,1962-10,1,0,0,0,0,U,1
215,1962-11,1,0,0,0,0,U,1
216,1962-12,1,0,0,0,0,U,1
217,1963-01,1,0,0,0,0,U,1
218,1963-02,1,0,0,0,0,U,1
219,1963-03,1,0,0,0,0,U,1
220,1963-04,1,0,0,0,0,U,1
221,1963-05,1,0,0,0,0,U,1
222,1963-06,1,0,0,0,0,U,1
223,1963-07,1,0,0,0,0,U,1
224,1963-08,1,0,0,0,0,U,1
225,1963-09,1,0,0,0,0,U,1
226,1963-10,1,0,0,0,0,U,1
227,1963-11,1,0,0,0,0,U,1
228,1963-12,1,0,0,0,0,U,1
229,1964-01,1,0,0,0,0,U,1
230,1964-02,1,0,0,0,0,U,1
231,1964-03,1,0,0,0,0,U,1
232,1964-04,1,0,0,0,0,U,1
233,1964-05,1,0,0,0,0,U,1
234,1964-06,1,0,0,0,0,U,1
235,1964-07,1,0,0,0,0,U,1
236,1964-08,1,0,0,0,0,U,1
237,1964-09,1,0,0,0,0,U,1
238,1964-10,1,0,0,0,0,U,1
239,1964-11,1,0,0,0,0,U,1
240,1964-12,0,0,1,0,0,F,5
241,1965-01,1,0,0,0,0,U,1
242,1965-02,0,0,1,0,0,F,5
243,1965-03,0,0,1,0,0,F,5
244,1965-04,0,0,1,0,0,F,5
245,1965-05,1,0,0,0,0,U,1
246,1965-06,1,0,0,0,0,U,1
247,1965-07,1,0,0,0,0,U,1
248,1965-08,1,0,0,0,0,U,1
249,1965-09,0,0,1,0,0,F,5
250,1965-10,0,0,1,0,0,F,5
251,1965-11,0,0,1,0,0,F,5
252,1965-12,0,1,0,0,0,H,2
253,1966-01,0,1,0,0,0,H,2
254,1966-02,0,1,0,0,0,H,2
255,1966-03,0,0,0,1,0,D,3
256,1966-04,0,0,0,1,0,D,3
257,1966-05,0,1,0,0,0,H,2
258,1966-06,0,1,0,0,0,H,2
259,1966-07,0,1,0,0,0,H,2
260,1966-08,0,1,0,0,0,H,2
261,1966-09,0,0,0,1,0,D,3
262,1966-10,0,0,0,1,0,D,3
263,1966-11,0,0,0,1,0,D,3
264,1966-12,0,0,0,1,0,D,3
265,1967-01,0,0,0,1,0,D,3
